HandrailForSteps(ViewFromAbove)
HandrailForSteps(ViewFromBelow)
GrabBar(AgainstWhiteWall)
GrabBar(AgainstDarkWall)
SingleStepUp
SingleStepDown
FlightOfStepsUp
FlightOfStepsDown
CarpetedSteps
BoundaryBetweenFloorAndCarpet(HighContrast)
BoundaryBetweenFloorAndCarpet(LowContrast)
BoundaryBetweenFloorAndCarpet(PatternedCarpetingAndUniformFloor)
BoundaryBetweenFloorAndCarpet(PatternedFloorAndUniformCarpeting)
BoundaryBetweenFloorAndCarpet(PatternedCarpetingAndPatternedFloor)
BoundaryBetweenFloorAndCarpet(UniformCarpetingAndUniformFloor)
DoorThreshold(HighContrast)
DoorThreshold(LowContrast)
ShoesOnFloor(HighContrast)
ShoesOnFloor(LowContrast)
CushionOnFloor(HighContrast)
CushionOnFloor(LowContrast)
TrashbinOnFloor(HighContrast)
TrashbinOnFloor(LowContrast)
BookOnFloor(HighContrast)
BookOnFloor(LowContrast)
Sofa(HighContrast)
Sofa(LowContrast)
Chair(HighContrast)
Chair(LowContrast)
Table(HighContrast)
Table(LowContrast)
GlassTable
OpenedDoor
OpenedClosetDoor
OpenedUpperCabinetDoor
OpenedMicrowaveDoor
ShelfAtHeadHeight
HangingPlant
HangingChandelier
BathroomVanity
Toilet(HighContrastWithFloor)
Toilet(LowContrastWithFloor)
Bathtub
WindowsWithBrightSunlight
WindowsWithRegularSunlight
BrightLamps
SquareShadowOnFloor
LightSwitchPanel(HighContrast)
LightSwitchPanel(LowContrast)
Plantars
TrashContainers
SignsOnPole
NewspaperStands
Benches
Carts
MetalDoorDivider
FurnitureInHallway
FurnitureInRoom
DrinkingFountain
HandSanitizerDispenser
SelfCheckInKiosk
GrabBars
ExamTable
InstrumentTower
Chair
Desk
FootrestOnExamChairs
